Time,REF_temp,RTD2,RTD3,RTD4,RTD5,RTD6,RTD7,RTD8
35541.252014636986,69.929,71.9002,71.8735,72.0039,71.9231,71.8925,71.9453,71.9557
35546.21516394615,69.93,71.9033,71.8719,72.0034,71.9223,71.8928,71.9443,71.9565
35551.18531417847,69.93,71.9038,71.8751,72.0073,71.9258,71.894,71.9461,71.9579
35556.133464097984,69.931,71.9065,71.8766,72.0095,71.9281,71.8949,71.9505,71.9589
35561.11561369897,69.932,71.907,71.8808,72.0113,71.9303,71.8981,71.9525,71.9615
35566.11376476288,69.935,71.9105,71.8812,72.0146,71.9329,71.9015,71.955,71.9637
35571.07591533661,69.936,71.9122,71.8854,72.0165,71.9353,71.902,71.9569,71.9669
35576.03806400299,69.938,71.9135,71.8865,72.0189,71.935,71.904,71.9571,71.9693
35581.008214712136,69.94,71.9151,71.8824,72.0161,71.9353,71.9039,71.9576,71.9682
35585.973363876335,69.941,71.9159,71.8865,72.0181,71.9378,71.9048,71.9595,71.9691
35590.91951274872,69.942,71.9143,71.8857,72.0164,71.9346,71.9044,71.9568,71.968
35595.898663043976,69.943,71.9132,71.8833,72.0154,71.9366,71.904,71.9558,71.9685
35600.86681342125,69.943,71.9124,71.8824,72.0135,71.9343,71.9024,71.9541,71.9669
35605.84796571732,69.942,71.9087,71.8796,72.0125,71.9318,71.9012,71.9513,71.9643
35610.80811595917,69.941,71.909,71.8753,72.0076,71.9286,71.897,71.9483,71.9595
35615.78026676178,69.941,71.9063,71.8726,72.0065,71.9262,71.8954,71.9445,71.9579
35620.73741722107,69.939,71.9018,71.8715,72.0036,71.9234,71.8932,71.9443,71.9565
35625.709567308426,69.938,71.9004,71.8694,72.0026,71.9225,71.8919,71.9427,71.9554
35630.6717171669,69.935,71.8994,71.8687,72.0002,71.9196,71.8879,71.9408,71.9531
35635.671869277954,69.934,71.8945,71.8651,71.9983,71.9161,71.8845,71.9368,71.9495
35640.63101935387,69.932,71.8967,71.8671,72.0002,71.9186,71.8867,71.9389,71.9498
35645.601168632515,69.93,71.8975,71.8676,72.0002,71.9186,71.8893,71.94,71.9509
35650.56131887436,69.929,71.8977,71.8684,71.9991,71.9185,71.8876,71.9409,71.952
35655.528469085686,69.929,71.9017,71.8692,72.0031,71.9214,71.8903,71.9425,71.9539
35660.49661874772,69.929,71.9015,71.8715,72.0026,71.9236,71.8908,71.9437,71.9554
35665.47477078438,69.93,71.9039,71.8743,72.0058,71.9247,71.8944,71.9451,71.9578
35670.471921920784,69.931,71.9046,71.8742,72.0068,71.9249,71.893,71.9457,71.9579
35675.42307162285,69.932,71.9074,71.8782,72.0105,71.929,71.8949,71.951,71.9597
35680.390222072594,69.933,71.9108,71.8819,72.0127,71.9321,71.8999,71.9539,71.9634
35685.361372709274,69.934,71.9116,71.886,72.0172,71.9342,71.9015,71.9561,71.9651
35690.32652258873,69.936,71.9156,71.8854,72.0178,71.9366,71.9039,71.9593,71.9682
35695.285173892975,69.938,71.9172,71.888,72.0183,71.9377,71.906,71.959,71.9693
35700.28332519531,69.94,71.9164,71.887,72.0173,71.9367,71.9048,71.9574,71.9699
35705.27047610283,69.941,71.9162,71.8852,72.017,71.9353,71.905,71.956,71.9677
35710.2316262722,69.942,71.914,71.8814,72.0151,71.9335,71.9034,71.9536,71.9674
35715.20177650452,69.942,71.9124,71.882,72.0125,71.9326,71.9012,71.9521,71.9651
35720.178926467896,69.942,71.9113,71.8769,72.0093,71.9279,71.898,71.9485,71.9619
35725.137077331536,69.941,71.909,71.8742,72.0076,71.9282,71.8967,71.9488,71.9619
35730.12422800064,69.94,71.9063,71.8735,72.0057,71.9255,71.8943,71.9454,71.9579
35735.10637760162,69.939,71.9036,71.8713,72.0025,71.9233,71.8917,71.9433,71.9567
35740.07352924347,69.937,71.8999,71.8695,72.0004,71.9209,71.8911,71.9421,71.9539
35745.034679412835,69.936,71.9001,71.8678,72.0004,71.9198,71.889,71.9395,71.9535
35750.016832351685,69.933,71.8988,71.8681,71.9996,71.9186,71.8879,71.9393,71.9528
35754.97398209572,69.932,71.8996,71.8643,71.9965,71.9169,71.8859,71.9366,71.9504
35759.946132183075,69.93,71.8982,71.8662,71.9981,71.9178,71.8872,71.9382,71.9512
35764.89528179169,69.929,71.8974,71.8687,71.9991,71.917,71.8861,71.9421,71.9517
35769.867433547966,69.928,71.8991,71.8703,72.0009,71.9222,71.8898,71.9429,71.952
35774.84858298302,69.929,71.9026,71.8727,72.0044,71.9246,71.8925,71.9445,71.9557
35779.82173371315,69.929,71.9022,71.8742,72.0063,71.9244,71.8919,71.9475,71.9568
35784.767884492874,69.931,71.9063,71.8779,72.0101,71.9294,71.8957,71.9509,71.96
35789.74103403092,69.931,71.9074,71.8812,72.0125,71.9314,71.8983,71.9528,71.9635
35794.711185216904,69.933,71.9094,71.8809,72.0151,71.9327,71.9007,71.9545,71.9647
35799.67633628845,69.935,71.9134,71.8832,72.0164,71.9369,71.9021,71.9571,71.9675
35804.64948630333,69.938,71.9156,71.8873,72.0201,71.9367,71.9056,71.9609,71.9688
35809.63563847542,69.94,71.9169,71.8857,72.0194,71.9388,71.9063,71.9589,71.9696
35814.59778881073,69.942,71.918,71.887,72.0202,71.9374,71.9064,71.9601,71.9706
35819.58193874359,69.943,71.9158,71.8865,72.0181,71.9362,71.905,71.9565,71.9701
35824.5500895977,69.944,71.915,71.8841,72.014,71.9348,71.9042,71.9552,71.9672
35829.52824044228,69.944,71.9134,71.8806,72.0132,71.9324,71.9024,71.9523,71.9656
35834.487389564514,69.944,71.91,71.8783,72.0092,71.9308,71.8994,71.9501,71.9627
35839.471543073654,69.942,71.907,71.8758,72.0076,71.9268,71.8976,71.9457,71.96
35844.449694156654,69.94,71.9047,71.8721,72.0058,71.9239,71.8936,71.9429,71.9591
35849.4113445282,69.938,71.9039,71.8679,71.9994,71.9209,71.8912,71.9409,71.9535
35854.38249516487,69.936,71.9012,71.8676,72.0001,71.9212,71.8885,71.939,71.9538
35859.328646183014,69.933,71.8985,71.8668,71.9997,71.9188,71.8869,71.9393,71.9533
35864.29079580306,69.932,71.8972,71.8671,71.9978,71.9177,71.8874,71.9385,71.9523
35869.27394962311,69.931,71.8975,71.8679,71.9996,71.919,71.8871,71.9395,71.9517
35874.241100549705,69.929,71.8978,71.8671,72.001,71.9186,71.8879,71.9398,71.9498
35879.221250534065,69.928,71.8993,71.8694,72.0029,71.9196,71.8896,71.9417,71.9523
35884.184400320046,69.928,71.9015,71.8724,72.0039,71.9223,71.8909,71.944,71.9539
35889.15055131912,69.928,71.9014,71.8724,72.0034,71.9239,71.8922,71.9449,71.9563
35894.11270093918,69.929,71.9055,71.8756,72.0097,71.9266,71.894,71.9483,71.9586
35899.07685136795,69.93,71.906,71.8766,72.006,71.9263,71.8957,71.9501,71.9587
35904.05400156975,69.932,71.9071,71.8804,72.0114,71.93,71.8992,71.9533,71.9615
35909.07215356827,69.934,71.911,71.8833,72.0154,71.9338,71.9015,71.9573,71.9655
35916.325372695916,69.937,71.9148,71.8857,72.0164,71.9354,71.9029,71.959,71.9666
35921.296523332596,69.939,71.9148,71.886,72.0191,71.9382,71.9048,71.9577,71.9691
35926.262674093254,69.941,71.9177,71.8868,72.0188,71.9385,71.9055,71.9587,71.9691
35931.222825050354,69.942,71.918,71.8859,72.0172,71.9377,71.9063,71.9577,71.9695
35936.17297434807,69.943,71.9154,71.8816,72.0148,71.934,71.9028,71.9534,71.9671
35941.13512468338,69.944,71.913,71.8824,72.0141,71.9342,71.901,71.9529,71.9655
35946.134276628494,69.944,71.9122,71.8785,72.0122,71.9322,71.9004,71.9515,71.9656
35951.130427837365,69.943,71.911,71.8766,72.0093,71.9295,71.8983,71.9497,71.9637
35956.07857775688,69.941,71.9074,71.8734,72.0068,71.9263,71.8962,71.9451,71.9589
35961.023728609085,69.94,71.9041,71.8731,72.0031,71.9258,71.8924,71.9438,71.9565
35965.968877792366,69.938,71.9022,71.8705,72.0017,71.9212,71.893,71.9416,71.9541
35970.93402862549,69.936,71.9004,71.8676,71.9994,71.919,71.8901,71.9401,71.9528
35975.890178203575,69.934,71.8986,71.867,71.9965,71.9178,71.8864,71.9387,71.9506
35980.86532855034,69.932,71.8991,71.8663,71.9991,71.9196,71.8888,71.939,71.9511
35985.84747982025,69.93,71.8974,71.866,71.9986,71.918,71.8869,71.9382,71.9498
35990.83263015747,69.929,71.899,71.8679,71.9997,71.9194,71.8879,71.9403,71.9528
35995.799780607216,69.929,71.9001,71.8705,72.0041,71.9209,71.8896,71.9433,71.9546
36000.75693178177,69.928,71.9012,71.8726,72.005,71.9234,71.8903,71.9435,71.9546
36005.727082014084,69.929,71.9007,71.8743,72.0065,71.9239,71.8919,71.9465,71.956
36010.67023181915,69.93,71.9042,71.8791,72.0093,71.9289,71.8962,71.9493,71.9592
36015.658382892616,69.931,71.9079,71.8796,72.0132,71.9298,71.8989,71.9526,71.9611
36020.623534202576,69.933,71.909,71.8811,72.0143,71.9314,71.9,71.9533,71.9631
36027.91475582123,69.936,71.9119,71.8841,72.0159,71.9338,71.9021,71.9566,71.9651
