RTD temps,REF_temp,Time
"[31.1735, 31.1298, 31.2584, 31.1755, 31.1384, 31.158, 31.2022]",30.336,474.4760248661041
"[31.1749, 31.1333, 31.2617, 31.1769, 31.1406, 31.1613, 31.2027]",30.337,479.46712708473206
"[31.1781, 31.1354, 31.2639, 31.1783, 31.1446, 31.1649, 31.2051]",30.339,484.42222905158997
"[31.1811, 31.1393, 31.268, 31.1823, 31.1477, 31.1675, 31.2092]",30.34,489.3763356208801
"[31.1826, 31.1401, 31.2685, 31.1848, 31.1496, 31.1709, 31.2106]",30.347,494.34443950653076
"[31.1841, 31.1442, 31.2714, 31.1872, 31.1523, 31.1727, 31.2133]",30.348,499.3066236972809
"[31.1877, 31.1452, 31.2732, 31.1897, 31.154, 31.1738, 31.2152]",30.349,504.2762248516083
"[31.1893, 31.148, 31.2761, 31.1922, 31.1572, 31.1763, 31.2191]",30.352,509.25932717323303
"[31.1932, 31.1502, 31.2796, 31.1952, 31.1596, 31.1799, 31.2221]",30.354,514.2454361915588
"[31.195, 31.1516, 31.2826, 31.1969, 31.1618, 31.1821, 31.224]",30.361,521.5536012649536
"[31.1997, 31.1561, 31.2857, 31.2012, 31.1664, 31.1867, 31.2288]",30.362,526.5097041130066
"[31.203, 31.1591, 31.2875, 31.2047, 31.1681, 31.1886, 31.2303]",30.363,531.4968900680542
"[31.2041, 31.1613, 31.2903, 31.2063, 31.1695, 31.1905, 31.2321]",30.366,536.4629929065704
"[31.2057, 31.1638, 31.293, 31.2078, 31.1733, 31.1924, 31.2354]",30.367,541.417594909668
"[31.2078, 31.1667, 31.2968, 31.2115, 31.1755, 31.1945, 31.2379]",30.373,546.3866996765137
"[31.2108, 31.1681, 31.2984, 31.2143, 31.1778, 31.1979, 31.2408]",30.374,551.386804819107
"[31.215, 31.1698, 31.2995, 31.2143, 31.1796, 31.2005, 31.2425]",30.376,556.3839120864868
"[31.216, 31.172, 31.3036, 31.2181, 31.182, 31.2033, 31.245]",30.378,561.3581039905548
"[31.2187, 31.1766, 31.3052, 31.2202, 31.1861, 31.2054, 31.2458]",30.38,566.292206287384
"[31.2207, 31.179, 31.3074, 31.2221, 31.1876, 31.2082, 31.2491]",30.382,571.2593111991882
"[31.2231, 31.1815, 31.3089, 31.226, 31.191, 31.2115, 31.2518]",30.384,576.2284169197083
"[31.2261, 31.184, 31.3116, 31.2279, 31.194, 31.2139, 31.254]",30.387,581.1945223808289
"[31.2286, 31.1848, 31.3119, 31.229, 31.1947, 31.2156, 31.2569]",30.389,586.192625284195
"[31.2311, 31.1874, 31.3161, 31.2331, 31.1975, 31.2175, 31.2597]",30.392,591.1518085002899
"[31.233, 31.1931, 31.32, 31.2344, 31.1988, 31.2205, 31.2611]",30.394,596.1019167900085
"[31.2352, 31.1929, 31.3228, 31.2386, 31.2016, 31.2223, 31.264]",30.396,601.0510189533234
"[31.2378, 31.1959, 31.3238, 31.2405, 31.2043, 31.2254, 31.2665]",30.399,606.006121635437
"[31.2412, 31.1999, 31.326, 31.2437, 31.2076, 31.2272, 31.2701]",30.399,610.9732286930084
"[31.2425, 31.1997, 31.3284, 31.2446, 31.2084, 31.2292, 31.2722]",30.407,615.944333076477
"[31.2461, 31.2027, 31.3328, 31.248, 31.2128, 31.2327, 31.2744]",30.408,620.9134364128113
"[31.2477, 31.2049, 31.3345, 31.25, 31.2143, 31.2341, 31.276]",30.409,625.8946232795715
"[31.2498, 31.2092, 31.3363, 31.2511, 31.216, 31.2374, 31.2787]",30.412,630.8817365169525
"[31.2531, 31.2098, 31.3388, 31.2552, 31.219, 31.2401, 31.2821]",30.413,635.8508388996124
"[31.2547, 31.212, 31.3412, 31.2566, 31.222, 31.2417, 31.285]",30.416,640.8169448375702
